method,config_id,seed,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,T,warmup,avg_energy_j,avg_device_energy_j,avg_edge_energy_j,avg_total_queue_bits,avg_device_queue_bits,avg_edge_queue_bits,avg_fairness,avg_runtime_ms,avg_iterations,avg_arrival_bits,avg_local_completed_bits,avg_edge_completed_bits,avg_uploaded_bits,avg_local_energy_j,avg_transmit_energy_j,effective_warmup_slots,window_arrival_bits,window_completed_bits,window_energy_j,energy_per_completed_mbit_j,window_start_queue_bits,window_end_queue_bits,window_flow_residual_bits,full_run_energy_j,full_run_completed_mbit,window_completed_mbit,window_local_completed_bits,window_edge_completed_bits,window_local_completion_fraction,window_edge_completion_fraction,early_half_avg_total_queue_bits,late_half_avg_total_queue_bits,late_half_backlog_slope_bits_per_slot,tail_10pct_avg_total_queue_bits,mean_energy_j_per_slot,mean_backlog_mbit,mean_device_backlog_mbit,mean_edge_backlog_mbit,mean_local_completed_mbit_per_slot,mean_edge_completed_mbit_per_slot,mean_arrival_mbit_per_slot,completion_to_arrival_ratio,late_half_backlog_slope_mbit_per_slot,local_cap_fraction,mean_effective_V,mean_local_energy_j_per_slot,mean_transmit_energy_j_per_slot,mean_edge_energy_j_per_slot,mean_completed_mbit_per_slot,mean_sweeps,convergence_fraction,mean_decision_runtime_ms,maximum_best_deviation_gain,maximum_objective_rise,wall_seconds,trace_path,trace_sha256
QAPG-R,c00,520927,100,10,2,300000000000.0,1,2000000.0,2,1e-10,3000,300,1.6589147434302833,0.8013710085541255,0.8575437348761578,28624792.26756854,14736847.250913944,13887945.016654598,0.9963003321838072,2.9192234541255013,10.461481481481481,9600266.666666666,4045253.2743228674,5554734.06845257,5554791.219795978,0.663177547219965,0.13819346133416036,300,25920720000.0,25919965825.49368,4479.069807261765,0.17280384694243536,28194339.292130273,28948513.798451137,-6.668269634246826e-07,4968.9924809124905,28770.635486201547,25919.96582549368,10922183840.671741,14997781984.821938,0.4213811049831396,0.5786188950168605,28553492.500438623,28681832.081272483,-66.72488107799855,28672568.698990326,1.6589147434302833,28.62479226756854,14.736847250913945,13.887945016654598,4.045253274322867,5.55473406845257,9.600266666666666,0.9999709045695366,-6.672488107799854e-05,0.0,300000000000.0,0.663177547219965,0.13819346133416036,0.8575437348761578,9.599987342775437,10.461481481481481,0.9848148148148148,2.9192234541255013,3.508937375905352e-08,0.0,9.344793750002282,experiments/results/parameter_sensitivity_v1/traces/c00_s520927.npz,6cec396c6d90333bca2e9943355c595cb3dddd25043090dc2a22aee4f1c96c54
QAPG-R,c00,520928,100,10,2,300000000000.0,1,2000000.0,2,1e-10,3000,300,1.6625770124694113,0.805361748723569,0.8572152637458424,28636733.178886972,14752673.646290887,13884059.532596085,0.9963380986527596,2.941603809260953,10.494074074074074,9601202.962962963,4047256.8127069473,5553888.8500113385,5553841.857731291,0.6642021176066938,0.14115963111687516,300,25923248000.0,25923093289.339375,4488.9579336674105,0.17316444004440829,28693214.741630398,28847925.402255997,1.4901161193847656e-08,4978.084657308818,28774.80807459775,25923.093289339373,10927593394.308758,14995499895.030613,0.42153894492223376,0.5784610550777661,28646876.529281043,28628618.498571716,-84.88970910590788,28639151.490155715,1.6625770124694113,28.636733178886974,14.752673646290887,13.884059532596085,4.047256812706947,5.553888850011338,9.601202962962963,0.9999940319723584,-8.488970910590788e-05,0.0,300000000000.0,0.6642021176066938,0.14115963111687516,0.8572152637458424,9.601145662718286,10.494074074074074,0.9851851851851852,2.941603809260953,4.166041260265929e-07,0.0,9.39416224998422,experiments/results/parameter_sensitivity_v1/traces/c00_s520928.npz,be0d00f499a3ac5fbedf01c861300191fc0fa13d16e13d40adb16b9a8a541acb
QAPG-R,c00,520929,100,10,2,300000000000.0,1,2000000.0,2,1e-10,3000,300,1.6573888134187993,0.7985892522881862,0.8587995611306127,28637333.971311808,14735874.427054664,13901459.54425714,0.9963118202410424,2.9028276804429307,10.446666666666667,9601934.814814815,4044892.1943453103,5557428.104133209,5557253.60672993,0.6629983598096402,0.13559089247854614,300,25925224000.0,25926264805.892006,4474.949796230758,0.1726029503183112,29512312.992279664,28471507.100275286,-2.1532177925109863e-06,4962.565495558174,28774.344492899723,25926.264805892006,10921208924.732338,15005055881.159666,0.4212411238756762,0.5787588761243238,28650594.34870456,28626725.669397604,38.32933987972791,28652810.84728448,1.6573888134187993,28.637333971311808,14.735874427054664,13.90145954425714,4.04489219434531,5.557428104133209,9.601934814814815,1.000040146457057,3.832933987972791e-05,0.0,300000000000.0,0.6629983598096402,0.13559089247854614,0.8587995611306127,9.60232029847852,10.446666666666667,0.9866666666666667,2.9028276804429307,1.2167945471347474e-07,0.0,9.290227665973362,experiments/results/parameter_sensitivity_v1/traces/c00_s520929.npz,90bebc0404dbb1f02a68ea536eac9cb82315c35d397914fd2c14c065dacd6717
QAPG-R,c00,520930,100,10,2,300000000000.0,1,2000000.0,2,1e-10,3000,300,1.6648981858981236,0.8070601338935048,0.8578380520046186,28658392.045083154,14767254.607135009,13891137.437948141,0.9962510510911199,2.944280861314231,10.48074074074074,9604257.777777778,4048837.619820562,5555375.627075109,5555396.730093013,0.6649811913549399,0.14207894253856496,300,25931496000.0,25931375766.61831,4495.225101924933,0.17335081417900228,28461789.276859958,28582022.65854908,1.1809170246124268e-06,4984.425225799431,28782.241977341455,25931.37576661831,10931861573.515518,14999514193.102795,0.42156890062069907,0.578431099379301,28666711.96830752,28651736.10650365,1.4644863012548572,28637193.452797126,1.6648981858981236,28.658392045083154,14.767254607135008,13.89113743794814,4.048837619820562,5.555375627075109,9.604257777777779,0.9999953634228549,1.4644863012548573e-06,0.0,300000000000.0,0.6649811913549399,0.14207894253856496,0.8578380520046186,9.60421324689567,10.48074074074074,0.9818518518518519,2.944280861314231,2.338779618166198e-07,0.0,9.404570583021268,experiments/results/parameter_sensitivity_v1/traces/c00_s520930.npz,0a5124ccb3c208690c60a8cb2af52d2ee0b52b10e9f03377034ef3d86fdf016f
QAPG-R,c00,520931,100,10,2,300000000000.0,1,2000000.0,2,1e-10,3000,300,1.6615390616932624,0.8034340957983103,0.8581049658949521,28646606.677878745,14752781.199407298,13893825.478471443,0.9963118370577501,2.9265336316462642,10.479259259259258,9602808.888888888,4047060.3685804694,5555873.488810295,5555818.634301052,0.6640965249937739,0.1393375708045365,300,25927584000.0,25927921414.955063,4486.155466571809,0.1730241076704368,28619494.325570725,28282079.370508045,-1.7583370208740234e-06,4975.816796230422,28780.325920629493,25927.921414955064,10927062995.167267,15000858419.787796,0.42143999205677185,0.5785600079432281,28590491.41130258,28691498.891139667,39.97055856984044,28739659.043110162,1.6615390616932624,28.646606677878744,14.752781199407298,13.893825478471443,4.047060368580469,5.555873488810295,9.602808888888887,1.0000130137445533,3.9970558569840444e-05,0.0,300000000000.0,0.6640965249937739,0.1393375708045365,0.8581049658949521,9.602933857390765,10.479259259259258,0.9844444444444445,2.9265336316462642,4.036492279868575e-06,0.0,9.32831095799338,experiments/results/parameter_sensitivity_v1/traces/c00_s520931.npz,3f6086d4221970a81b485e1cf634b482dc89dfe76d7735e6ce05defce4c5ba3a
QAPG-R,c01,520927,100,10,2,18750000000.0,0.0625,2000000.0,2,1e-10,3000,300,3.5361607897931187,3.4312587889247146,0.1049020008684051,12351673.541224046,9600266.666666666,2751406.87455738,0.9994822732287861,3.535705962653824,9.588148148148148,9600266.666666666,6848708.6809981745,2751327.931072865,2751406.87455738,3.3031736047145603,0.128085184210154,300,25920720000.0,25920098852.591812,9547.63413244142,0.36834867747762196,12038018.49470291,12659165.902894728,-5.476176738739014e-06,10605.021736563056,28786.924834097103,25920.09885259181,18491513438.695072,7428585413.896736,0.7134044335192056,0.28659556648079426,12336371.094960814,12363915.498234635,-13.687388637948928,12365490.919029318,3.5361607897931187,12.351673541224045,9.600266666666666,2.75140687455738,6.8487086809981745,2.7513279310728653,9.600266666666666,0.9999760366452711,-1.3687388637948928e-05,0.0,18750000000.0,3.3031736047145603,0.128085184210154,0.1049020008684051,9.60003661207104,9.588148148148148,0.9944444444444445,3.535705962653824,4.321457364637321e-06,0.0,11.17762945801951,experiments/results/parameter_sensitivity_v1/traces/c01_s520927.npz,3542ad0c3eca6d93e9e86208a70500382ac44fe4dbef6ba99102d21098515fcb
QAPG-R,c01,520928,100,10,2,18750000000.0,0.0625,2000000.0,2,1e-10,3000,300,3.539906891459801,3.435022236898232,0.1048846545615696,12352234.691991212,9601205.247857826,2751029.444133385,0.999489020343517,3.559451101669024,9.641851851851852,9601202.962962963,6850069.815125873,2751094.832992637,2751029.444133385,3.304892059546434,0.1301301773517975,300,25923248000.0,25923144549.919983,9557.748606941463,0.368695571964126,12512571.489630185,12616021.569650134,-1.391395926475525e-06,10613.985875587201,28791.03997843035,25923.144549919984,18495188500.83986,7427956049.08012,0.7134623835940824,0.2865376164059174,12354249.319001568,12350622.990382925,-20.463969159822124,12353878.81473603,3.539906891459801,12.352234691991212,9.601205247857825,2.751029444133385,6.850069815125873,2.7510948329926372,9.601202962962963,0.9999960093704301,-2.0463969159822125e-05,3.7037037037037037e-06,18750000000.0,3.304892059546434,0.1301301773517975,0.1048846545615696,9.601164648118512,9.641851851851852,0.9896296296296296,3.559451101669024,7.060270758941015e-07,0.0,11.211570874991594,experiments/results/parameter_sensitivity_v1/traces/c01_s520928.npz,d138cb978111af54d17eb522e3d7a0eb891e925e50b20286f2fce9bff163e138
QAPG-R,c01,520929,100,10,2,18750000000.0,0.0625,2000000.0,2,1e-10,3000,300,3.5354580300811884,3.43051840516547,0.10493962491571797,12353640.72071565,9601934.814814815,2751705.905900835,0.9994747673314833,3.5276641505899735,9.578148148148149,9601934.814814815,6850276.316321387,2751697.8630069843,2751705.905900835,3.304145230705076,0.12637317446039378,300,25925224000.0,25925330284.186604,9545.736681219209,0.3682011598919424,12488391.981177751,12382107.794573462,1.2759119272232056e-06,10600.035296374299,28790.43389220543,25925.330284186603,18495746054.067745,7429584230.118858,0.713423738533792,0.2865762614662079,12355583.710301422,12352086.32904703,7.56467175740174,12357363.459520906,3.5354580300811884,12.35364072071565,9.601934814814815,2.751705905900835,6.850276316321387,2.751697863006984,9.601934814814815,1.0000040996439068,7.56467175740174e-06,0.0,18750000000.0,3.304145230705076,0.12637317446039378,0.10493962491571797,9.601974179328371,9.578148148148149,0.9944444444444445,3.5276641505899735,6.430516733685332e-08,0.0,11.149701792019187,experiments/results/parameter_sensitivity_v1/traces/c01_s520929.npz,aff480102e1c7a2361dc7e0daae459f5ffdde396c3b259386011538ddaddb01b
QAPG-R,c01,520930,100,10,2,18750000000.0,0.0625,2000000.0,2,1e-10,3000,300,3.542657916168838,3.4376817643389184,0.10497615182991968,12356564.348201053,9604257.798639769,2752306.549561283,0.9994873109875816,3.567790483195697,9.646666666666667,9604257.777777778,6851948.265253531,2752337.3312852858,2752306.549561283,3.3072747286065587,0.13040703573236,300,25931496000.0,25931571110.654808,9565.176373655862,0.36886220016671906,12269203.220306557,12194092.565499246,-8.940696716308594e-07,10621.99653209279,28798.6299074345,25931.571110654808,18500260316.184532,7431310794.470272,0.7134261259080872,0.2865738740919127,12360277.349603243,12353593.947079299,8.053625103014273,12354443.897639135,3.542657916168838,12.356564348201053,9.604257798639768,2.752306549561283,6.85194826525353,2.7523373312852857,9.604257777777779,1.0000028965029557,8.053625103014274e-06,3.7037037037037037e-06,18750000000.0,3.3072747286065587,0.13040703573236,0.10497615182991968,9.604285596538817,9.646666666666667,0.9914814814814815,3.567790483195697,4.365546491004457e-07,0.0,11.241834999993443,experiments/results/parameter_sensitivity_v1/traces/c01_s520930.npz,9bf299ec87c8d9d1e233ea4ae7bd823b0eb509b3f3bf184221a3343a46d97f26
QAPG-R,c01,520931,100,10,2,18750000000.0,0.0625,2000000.0,2,1e-10,3000,300,3.539498459940265,3.4345674625546665,0.10493099738559855,12354740.917744808,9602808.888888888,2751932.028855917,0.9994840947903909,3.5594162851662583,9.632222222222222,9602808.888888888,6850879.822995934,2751834.6412433796,2751932.028855917,3.3058023643886885,0.12876509816597823,300,25927584000.0,25927329053.446148,9556.645841838716,0.368593533955573,12210296.104149979,12465242.658002302,-1.3560056686401367e-06,10615.600159372574,28796.142757341997,25927.32905344615,18497375522.08902,7429953531.357125,0.7134315873400939,0.28656841265990596,12343094.020019861,12364058.435924765,6.0764874709155965,12370569.174869196,3.539498459940265,12.354740917744808,9.602808888888887,2.7519320288559173,6.850879822995934,2.7518346412433794,9.602808888888887,0.9999901669760726,6.076487470915597e-06,0.0,18750000000.0,3.3058023643886885,0.12876509816597823,0.10493099738559855,9.602714464239314,9.632222222222222,0.9907407407407407,3.5594162851662583,6.560139362288275e-08,0.0,11.24268175000907,experiments/results/parameter_sensitivity_v1/traces/c01_s520931.npz,3a4339fdeed2e1db217b0de3e4d727ed205589ac7069775cca7b36efb36f68e9
