beta,rho,backlog_bound_mbit,qapg_backlog_mbit,qapg_backlog_max_seed_mbit,qapg_energy_j_per_slot,best_baseline,baseline_label,baseline_short_label,baseline_energy_j_per_slot,energy_saving_percent,mean_backlog_to_bound_percent,test_seed_count
1,1.5,7.2,7.1942798324340895,7.1996608822157,0.2762909346791329,EEDO-adapted,EEDO,EEDO,0.8144810941007343,66.0776736648277,99.92055322825124,5
1,2.0,9.6,8.188984771421923,8.198442319110493,0.25814201300425904,EEDO-adapted,EEDO,EEDO,0.8144810941007343,68.30595395350794,85.3019247023117,5
1,3.0,14.4,8.188984771421923,8.198442319110493,0.25814201300425904,EEDO-adapted,EEDO,EEDO,0.6063164426458629,57.42454024869082,56.86794980154113,5
1,5.0,24.0,14.53772490201446,14.55542699506386,0.2452919830057581,QAPG-capped,Sequential-QAPG,Seq.,0.4315765454815925,43.16373640461882,60.57385375839359,5
2,1.5,14.4,13.381453809482116,13.384892737271706,2.411688928659244,EEDO-adapted,EEDO,EEDO,3.8176430865833595,36.82780516767452,92.92676256584802,5
2,2.0,19.2,16.54082112742422,16.54793273543919,1.6826670437058073,EEDO-adapted,EEDO,EEDO,3.8176430865833595,55.923929881781376,86.15011003866782,5
2,3.0,28.8,28.61352735044262,28.625897809979666,1.6587155056341103,NoQuad-capped,Sequential-NoQuad,NoQuad,3.378893649948452,50.909508333906416,99.3525255223702,5
2,5.0,48.0,28.61352735044262,28.625897809979666,1.6587155056341103,EEDO-adapted,EEDO,EEDO,2.4098920101417174,31.170546287816148,59.611515313422125,5
3,1.5,21.6,21.028717987006207,21.034367293798564,6.467853284597972,GUPA-O-capped,GUPA-O,GUPA-O,9.116640303847682,29.054420608563312,97.35517586576947,5
3,2.0,28.8,22.650710581535762,22.657241363106564,5.461613814241756,GUPA-O-capped,GUPA-O,GUPA-O,8.568987859578396,36.263023081112486,78.64830063033251,5
3,3.0,43.2,32.09863484326771,32.11690450986236,5.38342269257537,EEDO-adapted,EEDO,EEDO,7.428845446547408,27.533521442725107,74.3023954705271,5
3,5.0,72.0,64.17929592604004,64.2155570324564,5.35229958243496,EEDO-adapted,EEDO,EEDO,7.428845446547408,27.952470933118313,89.13791100838894,5
