axis,axis_value,config_id,seed_count,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,energy_mean,energy_sample_sd,backlog_mean,backlog_sample_sd
V_scale,0.0625,c01,5,100.0,10.0,2.0,18750000000.0,0.0625,2000000.0,2.0,1e-10,3.538736417488642,0.0029457830849075996,12.353770843975353,0.001969776814065834
V_scale,0.125,c02,5,100.0,10.0,2.0,37500000000.0,0.125,2000000.0,2.0,1e-10,2.413895774628261,0.0029658940596522915,13.387015250424403,0.002147451822302514
V_scale,0.25,c03,5,100.0,10.0,2.0,75000000000.0,0.25,2000000.0,2.0,1e-10,1.8090180820599118,0.0031705714200351387,14.463999267300077,0.0022999488418002654
V_scale,0.5,c04,5,100.0,10.0,2.0,150000000000.0,0.5,2000000.0,2.0,1e-10,1.6849315608261,0.003075670821464714,16.54949773635236,0.003987813220007384
V_scale,1.0,c00,5,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.661063563381976,0.002972464091553516,28.640771628145846,0.012529898441473803
V_scale,2.0,c05,5,100.0,10.0,2.0,600000000000.0,2.0,2000000.0,2.0,1e-10,1.6493644413988986,0.002887493006628555,57.26374322753533,0.0238738653673557
V_scale,4.0,c06,5,100.0,10.0,2.0,1200000000000.0,4.0,2000000.0,2.0,1e-10,1.6371813329868097,0.002827280081597559,114.49227765033376,0.04849035934832144
V_scale,8.0,c07,5,100.0,10.0,2.0,2400000000000.0,8.0,2000000.0,2.0,1e-10,1.62464289643431,0.002766026016243793,228.89267092696753,0.10324302980616477
V_scale,16.0,c08,5,100.0,10.0,2.0,4800000000000.0,16.0,2000000.0,2.0,1e-10,1.6109286089030868,0.0026862784013493997,457.0908114879199,0.21330176505385695
beta,1.0,c09,5,100.0,10.0,1.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.2582497668844662,0.0017403826844000288,8.18936558452919,0.012700405437269939
beta,1.5,c10,5,100.0,10.0,1.5,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7412557866462068,0.0033652666426210722,16.185948121406724,0.03867667522763182
beta,2.0,c00,5,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.661063563381976,0.002972464091553516,28.640771628145846,0.012529898441473803
beta,2.5,c11,5,100.0,10.0,2.5,300000000000.0,1.0,2000000.0,2.0,1e-10,3.153827119521806,0.0051459757239701205,44.66959510117813,0.02511467856747307
beta,3.0,c12,5,100.0,10.0,3.0,300000000000.0,1.0,2000000.0,2.0,1e-10,5.35939691574654,0.008205014217913977,64.23799677197432,0.046085499498983974
M,5.0,c13,5,100.0,5.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,3.1818175738550987,0.0026758211507148474,56.759914769841956,0.02097347888027923
M,10.0,c00,5,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.661063563381976,0.002972464091553516,28.640771628145846,0.012529898441473803
M,15.0,c14,5,100.0,15.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.0594294745748507,0.002716020955215007,17.975894940448274,0.004930322062043187
M,20.0,c15,5,100.0,20.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,0.7737208434304346,0.0028374175725909443,16.337283096599762,0.0026790295008398053
bandwidth_mhz,1.0,c16,5,100.0,10.0,2.0,300000000000.0,1.0,1000000.0,1.0,5e-11,1.6761799451445953,0.0032602068276727137,28.676049363357183,0.012901008952672564
bandwidth_mhz,1.5,c17,5,100.0,10.0,2.0,300000000000.0,1.0,1500000.0,1.5,7.5e-11,1.665896683447192,0.003054290131173437,28.651717491718927,0.01264257729912372
bandwidth_mhz,2.0,c00,5,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.661063563381976,0.002972464091553516,28.640771628145846,0.012529898441473803
bandwidth_mhz,3.0,c18,5,100.0,10.0,2.0,300000000000.0,1.0,3000000.0,3.0,1.5e-10,1.6564319101579341,0.002886991313258413,28.630626144038278,0.012409628855038227
bandwidth_mhz,4.0,c19,5,100.0,10.0,2.0,300000000000.0,1.0,4000000.0,4.0,2e-10,1.6541774960038749,0.0028427886230705354,28.62578861438011,0.012367575398720538
