config_id,seed,N,M,beta,V,V_scale,bandwidth_hz,bandwidth_mhz,noise_w,energy_j_per_slot,backlog_mbit,trace_path,trace_sha256
c00,520927,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.6589147434302833,28.62479226756854,experiments/results/parameter_sensitivity_v1/traces/c00_s520927.npz,6cec396c6d90333bca2e9943355c595cb3dddd25043090dc2a22aee4f1c96c54
c00,520928,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.6625770124694113,28.636733178886974,experiments/results/parameter_sensitivity_v1/traces/c00_s520928.npz,be0d00f499a3ac5fbedf01c861300191fc0fa13d16e13d40adb16b9a8a541acb
c00,520929,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.6573888134187993,28.637333971311808,experiments/results/parameter_sensitivity_v1/traces/c00_s520929.npz,90bebc0404dbb1f02a68ea536eac9cb82315c35d397914fd2c14c065dacd6717
c00,520930,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.6648981858981236,28.658392045083154,experiments/results/parameter_sensitivity_v1/traces/c00_s520930.npz,0a5124ccb3c208690c60a8cb2af52d2ee0b52b10e9f03377034ef3d86fdf016f
c00,520931,100.0,10.0,2.0,300000000000.0,1.0,2000000.0,2.0,1e-10,1.6615390616932624,28.646606677878744,experiments/results/parameter_sensitivity_v1/traces/c00_s520931.npz,3f6086d4221970a81b485e1cf634b482dc89dfe76d7735e6ce05defce4c5ba3a
c01,520927,100.0,10.0,2.0,18750000000.0,0.0625,2000000.0,2.0,1e-10,3.5361607897931187,12.351673541224045,experiments/results/parameter_sensitivity_v1/traces/c01_s520927.npz,3542ad0c3eca6d93e9e86208a70500382ac44fe4dbef6ba99102d21098515fcb
c01,520928,100.0,10.0,2.0,18750000000.0,0.0625,2000000.0,2.0,1e-10,3.539906891459801,12.352234691991212,experiments/results/parameter_sensitivity_v1/traces/c01_s520928.npz,d138cb978111af54d17eb522e3d7a0eb891e925e50b20286f2fce9bff163e138
c01,520929,100.0,10.0,2.0,18750000000.0,0.0625,2000000.0,2.0,1e-10,3.5354580300811884,12.35364072071565,experiments/results/parameter_sensitivity_v1/traces/c01_s520929.npz,aff480102e1c7a2361dc7e0daae459f5ffdde396c3b259386011538ddaddb01b
c01,520930,100.0,10.0,2.0,18750000000.0,0.0625,2000000.0,2.0,1e-10,3.542657916168838,12.356564348201053,experiments/results/parameter_sensitivity_v1/traces/c01_s520930.npz,9bf299ec87c8d9d1e233ea4ae7bd823b0eb509b3f3bf184221a3343a46d97f26
c01,520931,100.0,10.0,2.0,18750000000.0,0.0625,2000000.0,2.0,1e-10,3.539498459940265,12.354740917744808,experiments/results/parameter_sensitivity_v1/traces/c01_s520931.npz,3a4339fdeed2e1db217b0de3e4d727ed205589ac7069775cca7b36efb36f68e9
c02,520927,100.0,10.0,2.0,37500000000.0,0.125,2000000.0,2.0,1e-10,2.412118327324777,13.384635299711249,experiments/results/parameter_sensitivity_v1/traces/c02_s520927.npz,d18b70e5a877c06470d80820516a900f254314e7f02a7b1cd0a13e2c7ce2f2b0
c02,520928,100.0,10.0,2.0,37500000000.0,0.125,2000000.0,2.0,1e-10,2.4153134120449318,13.38499659987062,experiments/results/parameter_sensitivity_v1/traces/c02_s520928.npz,6f0fac8136010792aaf687540a0e473f98adc030fb215e570fc8aff1426ff940
c02,520929,100.0,10.0,2.0,37500000000.0,0.125,2000000.0,2.0,1e-10,2.41003288780384,13.387535205761,experiments/results/parameter_sensitivity_v1/traces/c02_s520929.npz,bd7978bd1ba928df974b169bb0c2d461fce34641e0febafbfe4a57441cd50174
c02,520930,100.0,10.0,2.0,37500000000.0,0.125,2000000.0,2.0,1e-10,2.4177649081178885,13.38963087997042,experiments/results/parameter_sensitivity_v1/traces/c02_s520930.npz,80ad2f2813528e44560c3e2210f6527c099e1b3e4908ee49289806d83805514d
c02,520931,100.0,10.0,2.0,37500000000.0,0.125,2000000.0,2.0,1e-10,2.414249337849868,13.38827826680872,experiments/results/parameter_sensitivity_v1/traces/c02_s520931.npz,5fd020edfb1218da603a7e5a3f472b8834dac95483aae3a464a348746a37896d
c03,520927,100.0,10.0,2.0,75000000000.0,0.25,2000000.0,2.0,1e-10,1.8070872623560044,14.461644524942836,experiments/results/parameter_sensitivity_v1/traces/c03_s520927.npz,84e315f0cebf4c653964ed2d591ab79fa0a5214b6534ca5bd0a984c60c654849
